"Session_ID","id","ID_In_Session","Round","SumPayoff","ChoiceSelf","ExperienceSelf","Choice1","Choice2","Choice3","Experience1","Experience2","Experience3","Payoff","group_id","Optimal","PayoffBetter","Hard","Correct","n1","n2","n3","n4","ChoiceSelf_ms","Payoff_ms","ExperienceSelf_ms","Choice1_ms","Choice2_ms","Choice3_ms","Experience1_ms","Experience2_ms","Experience3_ms","Prop_Choice","Dur_Choice","Prop_Exp","Dur_Exp","n1_obs","n2_obs","n3_obs","n4_obs","Choice1_obs","Choice2_obs","Choice3_obs","Experience1_obs","Experience2_obs","Experience3_obs","Phase","TempChange","TimeSinceChange","ExpStable"
"0rcwbtsy","218jeqxc",1,1,1416,1,1,NA,NA,NA,NA,NA,NA,12,1,4,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"0rcwbtsy","218jeqxc",1,2,1416,1,2,1,4,1,2,2,2,18,1,4,19,1,0,2,0,0,1,1964,1619,848,651,651,850,515,332,284,1,2152,1,1131,2,0,0,1,1,4,1,2,2,2,1,0,2,2
"0rcwbtsy","218jeqxc",1,3,1416,4,3,1,1,4,3,3,3,20,1,4,19,1,1,2,0,0,1,3073,1400,1168,1350,684,434,932,534,450,1,2468,1,1916,2,0,0,1,1,1,4,3,3,3,1,0,3,3
"0rcwbtsy","218jeqxc",1,4,1416,3,4,1,1,3,4,4,4,19,1,4,19,1,0,2,0,1,0,1684,1853,1170,836,734,484,634,600,617,1,2054,1,1851,2,0,1,0,1,1,3,4,4,4,1,0,4,4
"0rcwbtsy","218jeqxc",1,5,1416,4,5,2,2,1,5,5,5,13,1,4,19,1,1,1,2,0,0,1083,1819,215,934,500,517,50,34,0,1,1951,0.666666666666667,84,1,2,0,0,2,2,1,5,5,0,1,0,5,5
"0rcwbtsy","218jeqxc",1,6,1416,1,6,0,4,1,1,6,6,14,1,4,19,1,0,1,0,0,1,450,1000,2835,516,867,1068,15,17,0,1,2451,0.666666666666667,32,1,0,0,1,0,4,1,1,6,0,1,0,6,6
"0rcwbtsy","218jeqxc",1,7,1416,2,7,4,3,4,2,7,7,13,1,4,19,1,0,0,0,1,2,769,1367,600,668,533,568,648,618,635,1,1769,1,1901,0,0,1,2,4,3,4,2,7,7,1,0,7,7
"0rcwbtsy","218jeqxc",1,8,1416,3,8,4,4,2,8,8,3,15,1,4,19,1,0,0,1,0,2,3604,1702,1400,1768,868,866,550,452,386,1,3502,1,1388,0,1,0,2,4,4,2,8,8,3,1,0,8,8
"0rcwbtsy","218jeqxc",1,9,1416,3,9,4,3,2,9,4,9,17,1,4,19,1,0,0,1,1,1,601,901,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9
"0rcwbtsy","218jeqxc",1,10,1416,3,10,1,2,4,10,5,10,10,1,4,19,1,0,1,1,0,1,483,869,67,0,0,0,31,0,0,0,0,0.333333333333333,31,0,0,0,0,0,0,0,10,0,0,1,0,10,10
"0rcwbtsy","218jeqxc",1,11,1416,1,11,0,3,1,1,11,6,18,1,4,19,1,0,1,0,1,0,583,817,432,33,0,0,51,0,0,0.333333333333333,33,0.333333333333333,51,0,0,0,0,0,0,0,1,0,0,1,0,11,11
"0rcwbtsy","218jeqxc",1,12,1416,4,12,1,3,3,7,2,12,20,1,4,19,1,1,1,0,2,0,702,683,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12
"0rcwbtsy","218jeqxc",1,13,1416,2,13,3,1,3,13,8,3,20,1,4,19,1,0,1,0,2,0,835,699,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,13
"0rcwbtsy","218jeqxc",1,14,1416,4,14,1,3,4,9,4,14,17,1,4,19,1,1,1,0,1,1,517,533,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,14
"0rcwbtsy","218jeqxc",1,15,1416,1,15,4,2,4,5,10,15,15,1,4,19,1,0,0,1,0,2,451,618,116,0,0,0,267,0,0,0,0,0.333333333333333,267,0,0,0,0,0,0,0,5,0,0,1,0,15,15
"0rcwbtsy","218jeqxc",1,16,1416,3,1,2,3,2,11,16,6,18,2,2,19,1,0,0,2,1,0,550,584,100,52,0,0,66,0,0,0.333333333333333,52,0.333333333333333,66,0,1,0,0,2,0,0,11,0,0,1,0,16,1
"0rcwbtsy","218jeqxc",1,17,1416,2,2,3,2,2,12,7,17,20,2,2,19,1,1,0,2,1,0,602,585,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2
"0rcwbtsy","218jeqxc",1,18,1416,2,3,4,4,2,18,8,13,19,2,2,19,1,1,0,1,0,2,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,3
"0rcwbtsy","218jeqxc",1,19,1416,1,4,2,4,2,19,14,9,16,2,2,19,1,0,0,2,0,1,500,700,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,4
