Session_ID,id,Round,SumPayoff,ChoiceSelf,ExperienceSelf,Payoff,Optimal,PayoffBetter,Hard,MouseTracking
27bsrtna,qdczif8y,1,1442,2,1,14,3,17,0,NA
27bsrtna,qdczif8y,2,1442,4,2,16,3,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""CropSelf"",""info"",""2871""  ""mouseout"",""CropSelf"","""",""3554""  ""mouseover"",""ExpSelf"",""info"",""3555""  ""mouseout"",""ExpSelf"","""",""4071""  ""mouseover"",""PayoffSelf"",""info"",""4088""  ""mouseout"",""PayoffSelf"","""",""5673""  ""mouseover"",""ExpSelf"",""info"",""5673""  ""mouseout"",""ExpSelf"","""",""6107""  ""mouseover"",""CropSelf"",""info"",""6125""  ""mouseout"",""CropSelf"","""",""8576""  ""mouseover"",""ExpSelf"",""info"",""8576""  ""mouseout"",""ExpSelf"","""",""9176""  ""mouseover"",""PayoffSelf"",""info"",""9176""  ""mouseout"",""PayoffSelf"","""",""9743"""
27bsrtna,qdczif8y,3,1442,3,3,15,3,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""13""  ""mouseover"",""ExpSelf"",""info"",""575""  ""mouseout"",""ExpSelf"","""",""672""  ""mouseover"",""CropSelf"",""info"",""672""  ""mouseout"",""CropSelf"","""",""1055""  ""mouseover"",""ExpSelf"",""info"",""1073""  ""mouseout"",""ExpSelf"","""",""1422""  ""mouseover"",""PayoffSelf"",""info"",""1439""  ""mouseout"",""PayoffSelf"","""",""2457"""
27bsrtna,qdczif8y,4,1442,1,4,13,3,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""ExpSelf"",""info"",""585""  ""mouseout"",""ExpSelf"","""",""719""  ""mouseover"",""CropSelf"",""info"",""735""  ""mouseout"",""CropSelf"","""",""1286""  ""mouseover"",""ExpSelf"",""info"",""1303""  ""mouseout"",""ExpSelf"","""",""1669""  ""mouseover"",""PayoffSelf"",""info"",""1669""  ""mouseout"",""PayoffSelf"","""",""3188"""
27bsrtna,qdczif8y,5,1442,2,5,12,3,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""27""  ""mouseover"",""PayoffSelf"",""info"",""666""  ""mouseout"",""PayoffSelf"","""",""1285""  ""mouseover"",""ExpSelf"",""info"",""1300""  ""mouseout"",""ExpSelf"","""",""1767""  ""mouseover"",""CropSelf"",""info"",""1767""  ""mouseout"",""CropSelf"","""",""2234""  ""mouseover"",""ExpSelf"",""info"",""2234""  ""mouseout"",""ExpSelf"","""",""2252"""
27bsrtna,qdczif8y,6,1442,2,6,12,3,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""19""  ""mouseover"",""PayoffSelf"",""info"",""20""  ""mouseout"",""PayoffSelf"","""",""1105""  ""mouseover"",""ExpSelf"",""info"",""1122""  ""mouseout"",""ExpSelf"","""",""1590""  ""mouseover"",""CropSelf"",""info"",""1607""  ""mouseout"",""CropSelf"","""",""2156""  ""mouseover"",""ExpSelf"",""info"",""2156""  ""mouseout"",""ExpSelf"","""",""2189""  ""mouseover"",""PayoffSelf"",""info"",""2189""  ""mouseout"",""PayoffSelf"","""",""2223"""
27bsrtna,qdczif8y,7,1442,4,7,16,3,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""1203""  ""mouseout"",""PayoffSelf"","""",""1386""  ""mouseover"",""ExpSelf"",""info"",""1419""  ""mouseout"",""ExpSelf"","""",""1603""  ""mouseover"",""CropSelf"",""info"",""1637""  ""mouseout"",""CropSelf"","""",""3305""  ""mouseover"",""ExpSelf"",""info"",""3321""  ""mouseout"",""ExpSelf"","""",""3839""  ""mouseover"",""PayoffSelf"",""info"",""3855""  ""mouseout"",""PayoffSelf"","""",""5206"""
27bsrtna,qdczif8y,8,1442,4,8,13,3,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""37""  ""mouseover"",""PayoffSelf"",""info"",""526""  ""mouseout"",""PayoffSelf"","""",""536""  ""mouseover"",""ExpSelf"",""info"",""553""  ""mouseout"",""ExpSelf"","""",""654""  ""mouseover"",""CropSelf"",""info"",""671""  ""mouseout"",""CropSelf"","""",""1021""  ""mouseover"",""ExpSelf"",""info"",""1021""  ""mouseout"",""ExpSelf"","""",""1354""  ""mouseover"",""PayoffSelf"",""info"",""1354""  ""mouseout"",""PayoffSelf"","""",""2488"""
27bsrtna,qdczif8y,9,1442,4,9,15,3,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""628""  ""mouseout"",""PayoffSelf"","""",""645""  ""mouseover"",""ExpSelf"",""info"",""645""  ""mouseout"",""ExpSelf"","""",""695""  ""mouseover"",""CropSelf"",""info"",""695""  ""mouseout"",""CropSelf"","""",""1064""  ""mouseover"",""ExpSelf"",""info"",""1080""  ""mouseout"",""ExpSelf"","""",""1111""  ""mouseover"",""PayoffSelf"",""info"",""1111""  ""mouseout"",""PayoffSelf"","""",""1679"""
27bsrtna,qdczif8y,10,1442,4,10,14,3,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""17""  ""mouseover"",""CropSelf"",""info"",""89""  ""mouseout"",""CropSelf"","""",""405""  ""mouseover"",""ExpSelf"",""info"",""405""  ""mouseout"",""ExpSelf"","""",""423""  ""mouseover"",""PayoffSelf"",""info"",""423""  ""mouseout"",""PayoffSelf"","""",""873"""
27bsrtna,qdczif8y,11,1442,3,1,14,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""12"""
27bsrtna,qdczif8y,12,1442,1,2,14,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""15""  ""mouseover"",""PayoffSelf"",""info"",""412""  ""mouseout"",""PayoffSelf"","""",""912""  ""mouseover"",""ExpSelf"",""info"",""929""  ""mouseout"",""ExpSelf"","""",""1130""  ""mouseover"",""CropSelf"",""info"",""1130""  ""mouseout"",""CropSelf"","""",""1297""  ""mouseover"",""ExpSelf"",""info"",""1297""  ""mouseout"",""ExpSelf"","""",""1330"""
27bsrtna,qdczif8y,13,1442,4,3,10,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""18""  ""mouseover"",""PayoffSelf"",""info"",""155""  ""mouseout"",""PayoffSelf"","""",""214""  ""mouseover"",""ExpSelf"",""info"",""230""  ""mouseout"",""ExpSelf"","""",""413""  ""mouseover"",""CropSelf"",""info"",""447""  ""mouseout"",""CropSelf"","""",""563""  ""mouseover"",""ExpSelf"",""info"",""581""  ""mouseout"",""ExpSelf"","""",""613"""
27bsrtna,qdczif8y,14,1442,1,4,19,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""24""  ""mouseover"",""ExpSelf"",""info"",""98""  ""mouseout"",""ExpSelf"","""",""265""  ""mouseover"",""CropSelf"",""info"",""299""  ""mouseout"",""CropSelf"","""",""482""  ""mouseover"",""ExpSelf"",""info"",""483""  ""mouseout"",""ExpSelf"","""",""516"""
27bsrtna,qdczif8y,15,1442,3,5,13,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""495""  ""mouseout"",""PayoffSelf"","""",""582"""
27bsrtna,qdczif8y,16,1442,4,6,15,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""16""  ""mouseover"",""PayoffSelf"",""info"",""127""  ""mouseout"",""PayoffSelf"","""",""479""  ""mouseover"",""ExpSelf"",""info"",""495""  ""mouseout"",""ExpSelf"","""",""729""  ""mouseover"",""CropSelf"",""info"",""744""  ""mouseout"",""CropSelf"","""",""945""  ""mouseover"",""ExpSelf"",""info"",""945""  ""mouseout"",""ExpSelf"","""",""963"""
27bsrtna,qdczif8y,17,1442,4,7,15,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""17""  ""mouseover"",""PayoffSelf"",""info"",""90""  ""mouseout"",""PayoffSelf"","""",""106"""
27bsrtna,qdczif8y,18,1442,4,8,14,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""16""  ""mouseover"",""PayoffSelf"",""info"",""178""  ""mouseout"",""PayoffSelf"","""",""283""  ""mouseover"",""ExpSelf"",""info"",""301""  ""mouseout"",""ExpSelf"","""",""733""  ""mouseover"",""PayoffSelf"",""info"",""733""  ""mouseout"",""PayoffSelf"","""",""751"""
27bsrtna,qdczif8y,19,1442,4,9,17,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""19""  ""mouseover"",""ExpSelf"",""info"",""217""  ""mouseout"",""ExpSelf"","""",""417""  ""mouseover"",""CropSelf"",""info"",""434""  ""mouseout"",""CropSelf"","""",""600""  ""mouseover"",""ExpSelf"",""info"",""600""  ""mouseout"",""ExpSelf"","""",""633""  ""mouseover"",""PayoffSelf"",""info"",""633""  ""mouseout"",""PayoffSelf"","""",""650"""
27bsrtna,qdczif8y,20,1442,4,10,12,1,17,0,"""event"",""name"",""value"",""time""  ""onload"",""body"",""body"",""14""  ""mouseover"",""PayoffSelf"",""info"",""678""  ""mouseout"",""PayoffSelf"","""",""745""  ""mouseover"",""ExpSelf"",""info"",""778""  ""mouseout"",""ExpSelf"","""",""878""  ""mouseover"",""ExpSelf"",""info"",""1047""  ""mouseout"",""ExpSelf"","""",""1312""  ""mouseover"",""PayoffSelf"",""info"",""1312""  ""mouseout"",""PayoffSelf"","""",""1763"""
